unit,time,treated,log_gdp_pc,Y_resid,trade_openness,inv_share,log_pop,log_emp,log_gdp_emp
Estonia,2008,0,10.240748444329785,-0.25180233669962426,-0.14671039581298895,0.341865539550781,0.2904836443817413,-0.4429034936012356,10.974135582312764
Estonia,2009,0,10.1366825156923,0.20370833821492695,-0.024058341979980025,0.230675160884857,0.28857767128339423,-0.5503832075805181,10.975643394556212
Estonia,2010,0,10.179318342016952,0.23657281842695532,-0.020982205867768,0.238830372691154,0.2862670718103984,-0.6015918514093782,11.067177265236728
Estonia,2011,0,10.330325739494063,0.14767611440406725,-0.048422217369078924,0.283979177474976,0.28319050042753985,-0.5385185516576485,11.15203479157925
Estonia,2012,0,10.385040861230625,0.012161716551448265,-0.08729565143585205,0.323808193206787,0.2796115935691929,-0.5225675227581847,11.187219977558003
Estonia,2013,0,10.391925923428568,0.13647854561043182,-0.06742674112319991,0.29581817984581,0.27605397743911636,-0.5099571242457995,11.177937025113483
Hungary,1990,0,9.653985198840271,-0.18557024998751714,0.025349356234072987,0.179139763116837,2.3400042805279293,1.6267937864828028,10.367195692885398
Hungary,1991,0,9.543291389125915,-0.16768082542927765,-0.002481311559677013,0.157374143600464,2.339705139753375,1.571233939915268,10.311762588964022
Hungary,1992,0,9.558962563823677,0.044829068660281024,-0.0050257742404939965,0.124369606375694,2.3390591529311333,1.483426370700313,10.414595346054497
Hungary,1993,0,9.606134904248833,-0.0040249636080265105,-0.05887930095195798,0.153610929846764,2.3376500676306984,1.4170324961275498,10.526752475751982
Hungary,1994,0,9.664293996575072,-0.013251573335717026,-0.04784505069255798,0.172592744231224,2.336013776218395,1.3824294084026278,10.61787836439084
Hungary,1995,0,9.705914391105457,0.049853501779395515,-0.018262401223182984,0.169947817921639,2.334353878606875,1.3635128220701265,10.676755447642206
Hungary,1996,0,9.736618340054868,0.06846243959743603,-0.01714655756950395,0.17265622317791,2.332360861987864,1.3614289203588772,10.707550281683854
Hungary,1997,0,9.767667740685184,0.06745809938709613,-0.022854626178740955,0.178269699215889,2.33006425856134,1.3715174927468372,10.726214506499687
Hungary,1998,0,9.794362120470536,0.0019870106643047336,-0.03710195422172602,0.19733914732933,2.327445203750938,1.3802788250466997,10.741528499174773
Hungary,1999,0,9.826489043585243,0.07251788421338468,-0.046847909688949974,0.186129510402679,2.324326623715281,1.3994060441579865,10.751409623142537
Hungary,2000,0,9.86777773983177,0.061700279726784046,-0.04771170020103399,0.196587815880775,2.3214657267573338,1.4057072430194666,10.783536223569635
Hungary,2001,0,9.969057335926706,0.12536876437790667,-0.048186212778091986,0.204393342137337,2.3191166900245896,1.4078879454687945,10.880286080482502
Hungary,2002,0,10.022071051821309,0.20881563669725622,-0.05820515751838701,0.197466284036636,2.316336704667471,1.4067369888805776,10.931670767608203
Hungary,2003,0,10.024088113019417,0.16572107541480818,-0.07926157116889998,0.204776808619499,2.313422456060365,1.4260633646110183,10.911447204468763
Hungary,2004,0,10.04643126200408,-0.011705873841330927,-0.11425709724426303,0.249966636300087,2.3111276016472506,1.416644117758431,10.940914745892899
Hungary,2005,0,10.05651906563479,0.028443780412070296,-0.09091931581497203,0.243939787149429,2.309134200695362,1.4095332855507543,10.956119980779397
Hungary,2006,0,10.102284950614262,0.04605491251907523,-0.08461290597915605,0.248918995261192,2.30756696284721,1.4184193211903784,10.991432592271092
Hungary,2007,0,10.136622721846306,0.09364979744477786,-0.0797641873359679,0.246530592441559,2.3059874982431396,1.412420039948538,11.030190180140908
Hungary,2008,0,10.178587174201517,0.07544220509960553,-0.09606426954269398,0.262123286724091,2.304249407254405,1.3923754156901649,11.090461165765758
Hungary,2009,0,10.189321975067156,0.2850346393124745,-0.048359155654907005,0.220129624009132,2.302722883500498,1.3736913866795146,11.118353471888138
Hungary,2010,0,10.225649140445958,0.34407196336826296,-0.03896391391754206,0.215822204947472,2.3004958119656296,1.3656319428177117,11.160513009593876
Hungary,2011,0,10.25235322206144,0.3481209510762664,-0.04648602008819602,0.220638632774353,2.297238425004812,1.3642769517084672,11.185314695357786
Hungary,2012,0,10.252528314701312,0.2976747363997845,-0.05119103193283103,0.230033785104752,2.2942124399524895,1.3764329457147948,11.170307808939008
Hungary,2013,0,10.265059440761334,0.22765848608828598,-0.05319923162460294,0.246043786406517,2.291458016046692,1.3926545310951792,11.163862925712847
Latvia,1990,0,9.813377036158121,-0.1643828122298121,0.019253551959990983,0.224966898560524,0.9783753697012595,0.2249193364974773,10.566833069361902
Latvia,1991,0,9.720634273846388,-0.20919576775706616,0.02030860632658049,0.2148367613554,0.9741595599767912,0.21687595361034606,10.477917880212832
Latvia,1992,0,9.387846575135447,-0.5325401536852716,0.08684445917606401,0.220414012670517,0.9611979385406665,0.14188894320406292,10.20715557047205
Latvia,1993,0,9.335420171137978,0.04920016116383863,0.118181504309178,0.0862429663538933,0.9414983337859789,0.07044597781404337,10.206472527109913
Latvia,1994,0,9.214462642699216,-0.08302471898869257,-0.032449886202812,0.099696196615696,0.9247480675763934,-0.03498207685083778,10.174192787126445
Latvia,1995,0,9.182641427780055,-0.07780195867039019,-0.047588557004929005,0.0941603481769562,0.9106544779947396,-0.07014790569505389,10.16344381146985
Latvia,1996,0,9.180360990135654,-0.198896372754076,-0.08111973106861098,0.11855486035347,0.8993093610885584,-0.06478542610746858,10.14445577733168
Latvia,1997,0,9.241958090545543,-0.17361663219152135,-0.10122701525688199,0.120183728635311,0.8892200038073876,-0.02163318802110094,10.152811282374032
Latvia,1998,0,9.33348867728595,-0.2541271073855391,-0.13002648949623102,0.157682731747627,0.8797134657341303,-0.02519552506996146,10.238397668090043
Latvia,1999,0,9.400878262231075,-0.14499361387727738,-0.11160080134868602,0.149690330028534,0.8716372398663974,-0.04313337262377669,10.31564887472125
Latvia,2000,0,9.440762399213575,-0.1559649083660375,-0.11375989019870797,0.164072945713997,0.8621778873409319,-0.07743321661167442,10.380373503166181
Latvia,2001,0,9.509519824277294,-0.24847188946382026,-0.12555551528930697,0.196411669254303,0.8494245972782404,-0.061354001566400154,10.420298423121935
Latvia,2002,0,9.591174524607712,-0.1751698280953793,-0.15380056202411602,0.195156708359718,0.8378322020613284,-0.04678351423077179,10.475790240899814
Latvia,2003,0,9.621104390040006,-0.3122946520011478,-0.183122724294662,0.230331942439079,0.8281080509940558,-0.04057561927162838,10.48978806030569
Latvia,2004,0,9.685957178018644,-0.4573364101280486,-0.21188151836395297,0.275317698717117,0.8172100125114078,-0.03800804598331282,10.541175236513363
Latvia,2005,0,9.765973213933917,-0.5454284366268354,-0.24003285169601402,0.310285270214081,0.8063794326459864,-0.029224526724588647,10.601577173304491
Latvia,2006,0,9.876539629068969,-0.6844436428322958,-0.30461573600769104,0.357768177986145,0.7970710647567965,0.026462530294794475,10.64714816353097
Latvia,2007,0,10.023569943170196,-0.6467040385884317,-0.342509210109711,0.376519680023193,0.7888100254433574,0.06363627360745651,10.748743695006096
Latvia,2008,0,10.060662767202091,-0.5179642038494201,-0.31038898229599005,0.356012493371964,0.7782743251648185,0.0552481888732022,10.783688903493706
Latvia,2009,0,9.94976291130683,0.017375388698804173,-0.14460813999175998,0.229708775877953,0.7617600465206084,-0.09956163058441356,10.811084588411852
Latvia,2010,0,9.975633095446023,0.15270657723639225,-0.156804829835892,0.211434721946716,0.7409039538220147,-0.1682744484083682,10.884811497676406
Latvia,2011,0,10.059247438336469,-0.052920855377779574,-0.206788271665573,0.271630853414536,0.7226773416146357,-0.15304054383270238,10.934965323783807
Latvia,2012,0,10.122967399016611,-0.04580635887992024,-0.19966629147529596,0.281017482280731,0.7103154586502832,-0.13870611193981905,10.971988969606713
Latvia,2013,0,10.14059557531139,0.07350350450723475,-0.20185664296150208,0.254510641098022,0.6996311143552011,-0.1163241665062692,10.95655085617286
Lithuania,1990,0,9.695898805652448,0.010159369004066221,-0.07285845279693601,0.160157531499863,1.3069838020268267,0.5336409934835901,10.469241614195685
Lithuania,1991,0,9.560455027935186,-0.027113906536019527,0.010654963552951702,0.137292206287384,1.3087130176360344,0.5442249278879662,10.324943117683254
Lithuania,1992,0,9.38902925414841,0.06743214591350899,0.007691793143749293,0.0794491618871689,1.307668815464401,0.5339013125058762,10.162796757106936
Lithuania,1993,0,9.224063888697328,-0.12026746830011881,-0.024368286132812,0.0876240357756615,1.3029662833567164,0.5038301631786805,10.023200008875364
Lithuania,1994,0,9.188630590813633,-0.09753133902450628,-0.040172889828682,0.0809302181005478,1.2960662705956296,0.44652968794831416,10.038167173460947
Lithuania,1995,0,9.234083665547754,-0.10713644166285974,-0.055284827947616993,0.0950074568390846,1.288416337224101,0.4240613392711751,10.09843866350068
Lithuania,1996,0,9.304795460165714,-0.12799748586822268,-0.071474969387055,0.113302625715733,1.2808535644618533,0.43344877143803695,10.15220025318953
Lithuania,1997,0,9.389513602093096,-0.1912415442889852,-0.08984681963920599,0.14453113079071,1.2735200421234856,0.4395462946969792,10.223487349519603
Lithuania,1998,0,9.460280857612885,-0.19320390751767924,-0.10489216446876504,0.160787582397461,1.2663195189595828,0.4317472475185281,10.29485312905394
Lithuania,1999,0,9.489977972001586,-0.025935964087448582,-0.07040722668170898,0.13218492269516,1.2592847979140174,0.409536547790437,10.339726222125167
Lithuania,2000,0,9.552447935119948,0.11737280372068781,-0.032714813947678,0.118678949773312,1.2528778190426484,0.367315414175701,10.438010339986896
Lithuania,2001,0,9.630032368163018,0.1492524122692771,-0.03415811061859103,0.132479771971703,1.2450199255032834,0.3299284042185238,10.54512388944778
Lithuania,2002,0,9.699815043389362,0.15144062673220837,-0.06966903805732699,0.142245605587959,1.236648104462422,0.36485894851493117,10.571604199336853
Lithuania,2003,0,9.784824223412267,0.14787091866190671,-0.07200449705123901,0.15817828476429,1.2282588952731899,0.3873810454621374,10.62570207322332
Lithuania,2004,0,9.832699457478965,0.09359067872270366,-0.11789053678512601,0.180897057056427,1.2168986050649,0.3761981313323171,10.673399931211547
