COUNTRY,DATE,PIGT,NETD,SC,Within_SP,Total_Trade,EU_Distance,estimate_cc,estimate_ge,estimate_pv,estimate_rl,estimate_rq,estimate_va
Bulgaria,2017,90.6437533,3525.35,4.510062370190848e-05,0.000334865623451764,68.06037,-0.7393162147745955,-0.19633027911186218,0.09800964593887329,0.3213796615600586,-0.12496056407690048,0.6577866077423096,0.43008169531822205
Bulgaria,2018,94.3640228,3521.64,-4.3111173297601646e-05,0.0012274888036687857,72.33395,-0.7264939238529482,-0.18822002410888672,0.111848846077919,0.44441118836402893,-0.10584983229637146,0.60575270652771,0.3651728928089142
Bulgaria,2019,98.0675441,3467.68,7.026916128176686e-05,0.0018022238196530962,76.65357,-0.7070571504811334,-0.18122051656246185,0.17370347678661346,0.5612844228744507,-0.03741339221596718,0.5308061838150024,0.3546522259712219
Bulgaria,2020,100.0,3406.13,-0.00013030713570403825,0.0008691709818122743,68.30437,-0.6895468655049517,-0.32234975695610046,-0.21402783691883087,0.40163102746009827,-0.1276729851961136,0.4609907269477844,0.2593867778778076
Bulgaria,2021,107.845479,3408.42,0.0001293297535955201,0.0027545175652434837,86.48023,-0.669414568268623,-0.2581319212913513,-0.17344027757644653,0.3647393584251404,-0.06886845082044601,0.4339776933193207,0.284104585647583
Bulgaria,2022,127.6026808,3444.4,-4.5712654555056206e-05,0.0031812045934709165,119.51698,-0.6299698277455237,-0.1582060307264328,-0.2712329626083374,0.3134286403656006,-0.10792271047830582,0.3206869065761566,0.2875121235847473
Bulgaria,2023,140.0622927,3481.41,0.00013025297554940382,0.0026980817353512384,113.33688000000001,-0.6149491774723399,-0.13772165775299072,0.04711205139756203,0.3418614864349365,-0.00685768062248826,0.4078966975212097,0.38898810744285583
Croatia,2003,78.8811811,1585.57,-0.00022201448703684622,0.0011911217369027268,25.26074,-0.6467920091471966,0.25852304697036743,0.3188011348247528,0.5584958791732788,-0.04599394649267197,0.46621304750442505,0.6236841082572937
Croatia,2004,81.9840605,1597.57,5.991956113503565e-05,0.0008334394920936282,27.59819,-0.6308469279588748,0.23937007784843445,0.4443008601665497,0.6867544054985046,0.04121648892760277,0.5319160223007202,0.6583206057548523
Croatia,2005,84.3233204,1612.28,5.8778701634419684e-05,0.0014214648740280818,30.01764,-0.6135479073066491,0.13955523073673248,0.4556206464767456,0.43447408080101013,0.08334756642580032,0.4752495586872101,0.4526123106479645
Croatia,2006,88.9767978,1661.88,0.0004906904215872108,0.0010721444226823244,33.92559,-0.5961486518352106,0.044990114867687225,0.5555404424667358,0.5608292818069458,-0.04824604094028473,0.3651951253414154,0.48149374127388
Croatia,2007,93.1886594,1712.88,0.00018112733271372954,8.129505257697678e-05,36.98775,-0.5825722664092836,0.05903797224164009,0.45644697546958923,0.6053969860076904,0.03847775608301163,0.41139736771583557,0.5179760456085205
Croatia,2008,97.9300123,1747.91,-0.00011444788568446473,0.0014335115563856456,39.854789999999994,-0.5563838710820741,-0.050504669547080994,0.572743833065033,0.573651909828186,0.025006728246808052,0.41396355628967285,0.46780696511268616
Croatia,2009,97.3056611,1736.66,0.0002019721330803135,-0.0009497600566135957,31.965899999999998,-0.560411313176005,-0.08609498292207718,0.585426390171051,0.6129269599914551,0.04387594759464264,0.47227561473846436,0.48627769947052
Croatia,2010,92.5182819,1670.31,4.2929173619184725e-05,0.00025844609863062023,32.31766,-0.587348197335892,0.02310146577656269,0.5814344882965088,0.6084636449813843,0.0804690346121788,0.4894832968711853,0.476428359746933
Croatia,2011,93.0822324,1604.28,-0.00014821851223312756,0.001588869857298485,35.14193,-0.5923076596124502,0.027720678597688675,0.5021752119064331,0.6237471103668213,0.10939598083496094,0.44289255142211914,0.5210824012756348
Croatia,2012,94.1342753,1546.38,0.0006576126699165943,-6.632296177343022e-05,35.38865,-0.5961194780140577,-0.025457292795181274,0.6750282049179077,0.6068914532661438,0.14507900178432465,0.3538157045841217,0.5408305525779724
Croatia,2013,94.7722221,1502.61,0.0003473702171514926,0.00014999822083363557,36.46326,-0.5964354972054694,0.10745011270046234,0.6753647923469543,0.6426678895950317,0.17796219885349274,0.3696329891681671,0.513696014881134
