dropped_1,dropped_2,att_post_avg,att_2004_2008,att_2009_2013,pre_rmse,post_rmse,rmspe_ratio
Poland,Slovakia,-0.32142583883932013,-0.3146763667715273,-0.32817531090711294,0.13312962982747642,0.32799407232072764,2.463719554736067
Czechia,Hungary,-0.3156083672080074,-0.22955969942977567,-0.4016570349862391,0.032286583765292406,0.3385859569424947,10.48689323726066
Czechia,Slovakia,-0.31401254172813287,-0.2590677805039959,-0.3689573029522698,0.038527542415433116,0.3330656954881995,8.644872592620446
Slovenia,Slovakia,-0.31365166766882685,-0.2993765896733951,-0.3279267456642586,0.054672168532769086,0.3322198117121082,6.076580106987785
Estonia,Latvia,-0.3106961061004485,-0.09057681670723597,-0.5308153954936611,0.06215112221500701,0.40435794549835186,6.506044156363046
Czechia,Cyprus,-0.308272282157802,-0.12777405120929936,-0.4887705131063047,0.0422319301773777,0.3743185585897389,8.863401625679176
Slovenia,Hungary,-0.3069290142091484,-0.29946322185555657,-0.3143948065627402,0.049367027364734126,0.3245046748366072,6.573307978199649
Czechia,Malta,-0.30572532393617513,-0.1437950593320707,-0.4676555885402795,0.03680382456092692,0.36085245773348057,9.804754316663669
Slovenia,Cyprus,-0.3019392443230801,-0.16796325348407706,-0.4359152351620832,0.06323397050879356,0.34821253358346793,5.506732074258157
Hungary,Cyprus,-0.29638819747759226,-0.09897877065844156,-0.493797624296743,0.037339796718273664,0.3708595484914307,9.932018411603627
Hungary,Slovakia,-0.2940067792660971,-0.21725546443877447,-0.37075809409341964,0.038896359614704314,0.31489963976969376,8.09586405743353
Czechia,Slovenia,-0.2930600552062305,-0.2705067551767364,-0.31561335523572465,0.07440327304367858,0.3123785637075616,4.198451908482295
Hungary,Malta,-0.29247126419185426,-0.12126140984105618,-0.46368111854265237,0.03346265207834816,0.35072925940800576,10.481215254153254
Estonia,Lithuania,-0.29195951573687484,-0.16994796764948567,-0.413971063824264,0.05127710048844621,0.3299415381232558,6.4344811812750295
Estonia,Slovenia,-0.29094524113444803,-0.25382996985310696,-0.32806051241578904,0.052632631945051966,0.3095310363681242,5.880972030645779
Slovenia,Malta,-0.28979443192506443,-0.15831954212219834,-0.4212693217279305,0.06212469751864939,0.335741813481742,5.404321097594957
Slovakia,Malta,-0.2685090228827992,-0.08477522583597477,-0.4522428199296236,0.043845462199112895,0.339802685523987,7.750008061971395
Estonia,Czechia,-0.25164228097883984,-0.16431229543925346,-0.3389722665184262,0.041296658916136327,0.27824347276523825,6.737675155035773
Estonia,Cyprus,-0.2501357497321207,-0.06278901590650854,-0.43748248355773284,0.047204312865744544,0.3299824494356398,6.99051483651832
Estonia,Slovakia,-0.24631451474053687,-0.1449319741455561,-0.34769705533551765,0.04171281403471179,0.2778958251654928,6.662121259290698
Slovakia,Cyprus,-0.23584161160307726,-0.021969696366756254,-0.44971352683939825,0.05474125410690423,0.3378554388609263,6.171861503229871
Estonia,Malta,-0.2352383089520554,-0.07090881990738929,-0.39956779799672154,0.042440961481797906,0.3010545458267387,7.093490234801939
Estonia,Poland,-0.20797672495433234,-0.0005779385683901239,-0.4153755113402745,0.05854261741977151,0.31865691772833216,5.44316143986949
Estonia,Hungary,-0.20124503711477787,-0.12675163833160283,-0.2757384358979529,0.03773709495659433,0.22354625220907093,5.923780101944693
